epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1235.61,0.36066,0.76644,0.84467,0.65765,0.61108,0.64698,0.59537,0.30535,0.64668,0.83384,2.5998e-05,2.5998e-05,2.5998e-05
40,1262.89,0.35758,0.75923,0.84529,0.67799,0.5964,0.65022,0.59833,0.30276,0.63578,0.83453,2.3919e-05,2.3919e-05,2.3919e-05
41,1296.92,0.37205,0.80821,0.85107,0.62982,0.59025,0.62545,0.57198,0.32647,0.67152,0.83657,2.184e-05,2.184e-05,2.184e-05
42,1322.88,0.35429,0.74293,0.84195,0.67179,0.58068,0.6389,0.58572,0.31495,0.64325,0.83364,1.9761e-05,1.9761e-05,1.9761e-05
43,1348.79,0.34279,0.72291,0.84146,0.65982,0.60206,0.64765,0.59472,0.31123,0.63027,0.83262,1.7682e-05,1.7682e-05,1.7682e-05
44,1374.95,0.33965,0.71517,0.83929,0.65728,0.60339,0.65022,0.59759,0.30811,0.62673,0.83133,1.5603e-05,1.5603e-05,1.5603e-05
45,1400.92,0.3396,0.70795,0.83708,0.66695,0.6033,0.65156,0.59946,0.30585,0.61899,0.8308,1.3524e-05,1.3524e-05,1.3524e-05
46,1426.91,0.33476,0.6976,0.83885,0.66702,0.60644,0.65622,0.60326,0.30382,0.613,0.83045,1.1445e-05,1.1445e-05,1.1445e-05
47,1453.04,0.33783,0.70278,0.83818,0.67273,0.60431,0.65552,0.60223,0.30449,0.61427,0.83034,9.366e-06,9.366e-06,9.366e-06
48,1479.17,0.334,0.69721,0.83552,0.67384,0.61117,0.65747,0.60461,0.30335,0.61113,0.83013,7.287e-06,7.287e-06,7.287e-06
49,1505.3,0.33439,0.69166,0.83716,0.6735,0.60996,0.65899,0.60538,0.30321,0.60991,0.82985,5.208e-06,5.208e-06,5.208e-06
50,1531.43,0.32888,0.68441,0.83666,0.67572,0.61021,0.66001,0.6069,0.30251,0.6073,0.82975,3.129e-06,3.129e-06,3.129e-06
